ID,mdsX,mdsy,mdsZ
1,-0.812160571,-0.246177045,-0.229254122
2,-0.762769576,-0.226307158,-0.212343171
3,-0.883833118,-0.234295745,-0.313965989
4,-0.802452053,-0.225847182,-0.248182199
5,-0.962067382,-0.181107261,-0.506137795
6,-0.916765907,-0.20345239,-0.44586123
7,-0.876678728,-0.189609961,-0.543557385
8,-0.806084416,-0.229871919,-0.507240127
9,-0.899073253,-0.17745875,-0.419116261
10,-0.712815366,-0.298322217,0.103690703
11,-0.67501686,-0.23516062,-0.117236417
12,-0.557232874,-0.220179493,-0.163206955
13,-0.470840811,-0.270117638,0.19288697
14,-0.80163666,-0.180993785,-0.366683836
15,-0.389484448,-0.204667759,-0.043659838
16,-0.60405843,-0.354862266,0.304163521
17,-0.398076112,-0.356132292,0.403886933
18,-0.497300003,-0.438909064,0.284198939
19,-0.431606842,-0.374418343,0.347323111
20,-0.577051334,-0.46790862,-0.291376044
21,-0.744796854,-0.351048691,-0.161933301
22,-0.640995835,-0.352265672,-0.498147937
23,-0.743632963,-0.310167546,-0.586047893
24,-0.482798546,-0.268576884,0.111168399
25,-0.237260946,-0.327527764,0.230353948
26,-0.404500202,-0.360365104,-0.006328607
27,-0.610901702,-0.239306025,-0.416451044
28,-0.651152438,-0.267755664,-0.477015368
29,-0.264149422,-0.224199832,-0.365425778
30,-0.536737972,-0.258688683,-0.455473161
31,-0.520805973,-0.235523115,-0.508675028
32,-0.438210596,-0.37215352,-0.217659229
33,0.291161784,-0.383957431,0.324541189
34,-0.514160631,-0.373445517,0.301634228
35,-0.785915595,0.032771779,-0.044158263
36,-0.791613205,0.018523893,-0.144037437
37,-0.852202037,0.022189973,-0.086723587
38,-0.834603309,-0.020372317,-0.175140474
39,-0.920273857,0.0123546,-0.30103047
40,-0.96698351,-0.018881596,-0.423907568
41,-0.827182521,0.117063927,-0.444110126
42,-0.873976391,-0.000696483,-0.432661325
43,-0.889436172,-0.010854651,-0.377253127
44,-0.792588928,0.132315614,0.173877165
45,-0.736146975,0.026759665,-0.030657701
46,-0.641892586,0.141801308,0.256488304
47,-0.589190089,0.038547328,0.025480968
48,-0.481798529,0.048123122,0.043328346
49,-0.804047689,0.007039387,-0.28969859
50,-0.67367305,0.225362314,0.327692008
51,-0.569222288,0.202152699,0.223326604
52,-0.590172924,0.183758739,0.066614678
53,-0.683764874,0.275901611,0.090971604
54,-0.640616665,0.224640624,-0.203226185
55,-0.843888951,0.266469363,-0.414565337
56,-0.834492414,0.25014226,-0.514962578
57,-0.885467793,0.228034295,-0.496225523
58,-0.868183801,0.141265308,-0.227010447
59,-0.965446877,0.141220108,-0.441812093
60,-0.262527011,0.187876921,-0.348590281
61,-0.590818243,0.190964217,-0.448766341
62,-0.52593692,0.152941697,-0.513369237
63,-0.574311341,0.190469574,-0.369319343
64,-0.371502433,0.184825672,-0.397764801
65,0.001818193,0.362711092,0.08847952
66,-0.55533389,0.315831949,-0.192319532
67,-0.619136759,0.183278022,0.273909311
68,0.28316205,-0.922257969,0.030294724
69,0.244082934,-0.927407299,-0.202178894
70,0.183962573,-0.755970332,-0.347998723
71,0.021755544,-0.744760108,-0.486069379
72,-0.722255511,-0.201154934,-0.061242041
73,-0.319462748,-0.222532169,0.529573328
74,-0.540404756,-0.181877032,0.209035614
75,-0.390637351,-0.467529249,0.381640763
76,-0.575861482,-0.492062823,0.157788506
77,-0.547150696,-0.409317926,0.346989362
78,-0.648197785,-0.408821884,0.211741058
79,-0.640661112,-0.448230597,0.029934461
80,-0.61672613,-0.422785123,-0.096582771
81,-0.764858516,-0.368483163,-0.048602216
82,-0.768610454,-0.358027476,-0.18267222
83,-0.19460759,-0.188435084,-0.84034043
84,-0.027714351,-0.136717504,-0.826910155
85,-0.123027805,-0.021925258,-0.880438458
86,-0.149548498,0.049636108,-0.894438687
87,-0.371431153,-0.40827071,-0.211317559
88,-0.168655928,-0.346810006,-0.239332692
89,-0.166078366,-0.454406238,-0.225287551
90,-0.216584828,-0.406718314,-0.342831168
91,0.078553877,-0.407796407,-0.302362903
92,0.289437866,-0.464610439,-0.282857742
93,0.512439157,-0.557372833,-0.306636205
94,0.596928942,-0.419503058,-0.31462473
95,0.79917241,-0.606743202,-0.408901739
96,0.806226949,-0.561420853,-0.643020938
97,0.785825282,-0.447318697,-0.543977874
98,0.766463649,-0.330267789,-0.697553353
99,0.823581041,-0.472161611,-0.727291916
100,0.790398669,-0.416727319,-0.688003196
101,0.716122213,-0.246670142,-0.670452133
102,0.495579033,-0.21646295,-0.74553241
103,0.162854797,-0.553201146,-0.556259957
104,0.026857202,-0.57599265,-0.623145231
105,-0.164366863,-0.459805507,-0.708453133
106,-0.119276761,-0.524366257,-0.749184903
107,0.053249614,-0.598991226,-0.610974213
108,-0.105447111,-0.595186417,-0.691236783
109,-0.26648577,-0.473418165,-0.774421339
110,-0.42249118,-0.375749363,-0.787476043
111,-0.169950792,-0.357709159,-0.716380372
112,-0.054548763,-0.386847838,-0.903910281
113,-0.518734758,-0.303977457,-0.83359164
114,-0.334037238,-0.264806317,-0.92289486
115,-0.082935831,-0.331484488,-0.818673794
116,0.134862194,-0.251408256,-0.750199516
117,-0.33459517,-0.220947594,-0.902580056
118,-0.279228733,-0.18427976,-0.833585099
119,-0.03080358,-0.518055633,-0.147520207
120,0.058894958,-0.543992625,-0.205584029
121,0.206191256,-0.615510159,-0.196266647
122,0.683099034,-0.855333691,-0.117794373
123,0.589191365,-0.804182658,-0.224230317
124,0.43628012,-0.566852209,-0.689037098
125,0.452805435,-0.694960957,-0.184252158
126,0.410354886,-0.643954359,-0.187019106
127,1,-0.829540802,-0.182171433
128,0.771758706,-0.682574131,-0.468840964
129,-0.510871411,-0.146799078,-0.643934331
130,-0.373467283,-0.158112948,-0.455219269
131,-0.393587567,-0.208166083,-0.706572724
132,-0.49730946,-0.20426098,-0.534940183
133,0.214081795,-0.519948572,-0.795015743
134,0.270628731,-0.419531676,-0.880123084
135,0.522880746,-0.410468889,-0.757223234
136,0.32071077,-0.275573236,-0.900762766
137,0.081178203,-0.080882442,-0.883686085
138,0.061202338,-0.029710658,-0.815096442
139,0.194859314,-0.10280864,-0.795701617
140,-0.00996372,-0.082697228,-0.831783025
141,0.12083408,-0.073042491,-0.765693179
142,-0.127575794,-0.073857682,-0.828508087
143,-0.16325088,-0.013375021,-0.891520308
144,0.014851726,-0.060075745,-0.758159917
145,-0.321159765,0.194146968,-0.970160944
146,0.010876773,0.170275805,-0.826496536
147,-0.06936577,-0.004665778,-0.901556213
148,0.137040208,0.213938115,-0.782808838
149,-0.374871288,-0.36536403,0.555454063
150,-0.562317018,-0.279758791,0.391438103
151,-0.222927276,-0.466742781,0.651460694
152,-0.380763664,-0.387254055,0.537562635
153,-0.163378298,-0.550487198,0.647413889
154,-0.099581241,-0.586574405,0.646870834
155,-0.327605378,-0.435864201,0.558314551
156,-0.253242508,-0.517001669,0.550230521
157,0.049250696,-0.171116888,-0.810216303
158,0.470352809,-0.149580871,-0.565933153
159,0.035062451,-0.16484569,-0.806781247
160,0.659155824,-0.123216166,-0.481425123
161,0.145150207,-0.173685681,-0.745669588
162,0.180792934,-0.149946653,-0.718417922
163,0.208855311,-0.061303387,-0.744365988
164,0.382147986,-0.046218455,-0.636812666
165,-0.433277067,-0.091720315,0.697990027
166,-0.332134463,-0.151985936,0.776602082
167,-0.312593726,-0.245253166,0.649913762
168,-0.090195571,-0.001732613,0.830593733
169,-0.429818899,-0.017946791,0.675041433
170,0.232171108,-0.777301935,-0.316357579
171,0.592999423,-0.613942575,0.086431929
172,0.351083913,-0.526054316,0.151212798
173,0.801991868,-0.685388939,0.140787429
174,0.378757913,-0.697840947,-0.073823485
175,0.943786082,-0.874546393,0.168112254
176,0.541180313,-0.85078108,-0.038130024
177,0.848193988,-0.954401756,0.093117361
178,0.535241446,-0.948627795,-0.067567704
179,0.524905401,-0.982337292,0.126153728
180,0.455845351,-1,-0.080793719
181,0.917622962,-0.945888427,0.399768186
182,0.319205719,-0.947785634,0.104024296
183,0.354422107,-0.58927778,-0.457138032
184,0.103150923,-0.556433607,-0.640585601
185,-0.313945037,-0.273449782,-0.40575962
186,-0.212728388,-0.228391639,-0.374761516
187,-0.822319482,-0.147900774,-0.339052984
188,-0.849672017,-0.160703579,-0.380457257
189,-0.827668475,-0.166368397,-0.438401621
190,-0.820458336,-0.215818068,-0.543457831
191,-0.28038399,-0.698761764,0.268822514
192,0.076467249,-0.693365094,0.454732167
193,-0.265364922,-0.734231652,0.170555979
194,-0.006541686,-0.685810329,0.540755328
195,-0.163888507,-0.709366689,0.455310001
196,-0.109422607,-0.743102226,0.270350289
197,-0.231614026,-0.634583075,0.207002506
198,-0.09317812,-0.471266558,0.791913084
199,0.066361862,-0.614693277,0.738853978
200,0.195089489,-0.691179309,0.679211751
201,-0.05193267,-0.675713612,0.57768108
202,-0.064095648,-0.716637403,0.570569134
203,0.898856979,-0.508262238,1
204,-0.070092113,-0.54134438,0.505329449
205,-0.136167099,-0.167300621,-0.874550541
206,-0.147936314,-0.074717405,-0.891312582
207,-0.270366062,-0.542514959,-0.182298847
208,-0.429073521,-0.522056684,-0.254118985
209,-0.909283057,-0.215737611,-0.562509239
210,0.000412319,-0.529802142,-0.043943064
211,-0.216337388,-0.511141041,-0.145090321
212,-0.235152682,-0.511693083,-0.154752861
213,-0.466165556,-0.393652781,-0.306665256
214,-0.463114327,-0.382830403,-0.300941445
215,-0.603275666,-0.388978466,-0.37198552
216,-0.392967506,-0.417424746,-0.384505807
217,-0.577499273,-0.408488922,-0.509405528
218,-0.783897454,-0.259235976,-0.475664947
219,-0.649418009,-0.366130228,-0.636905788
220,-0.705907529,-0.181182113,-0.200723023
221,-0.786776823,-0.16239189,-0.304838351
222,-0.766982243,-0.16064302,-0.462698649
223,-0.636284072,-0.171640167,-0.402689555
224,-0.991987595,-0.159056695,-0.494731597
225,-0.133147049,-0.858131263,-0.045378139
226,-0.294987395,-0.639952283,-0.22752139
227,-0.393746429,-0.633445378,0.095094276
228,-0.065888601,-0.761807901,0.118960025
229,-0.336505221,-0.548910053,-0.138608254
230,-0.551753031,-0.459033208,-0.189147945
231,-0.562289299,-0.494292668,-0.01663325
232,-0.306608479,-0.682991051,0.04007096
233,-0.676792536,-0.422701816,-0.201583428
234,-0.765841469,-0.342882381,-0.223785594
235,-0.617195937,-0.385168581,-0.311633079
236,-0.710554368,-0.358585641,-0.417651646
237,-0.864609454,-0.244530612,-0.343986285
238,-0.842154886,-0.243938823,-0.466150178
239,-0.713644389,-0.17258298,-0.538838973
240,-0.549481774,-0.162272319,-0.857789557
241,-0.523345167,-0.227919746,-0.791767292
242,-0.44750487,-0.136604621,-0.82670668
243,-0.440257108,-0.098361756,-0.950863419
244,-0.490779874,-0.06475084,-0.828817606
245,-0.728032613,-0.032027731,-0.512198987
246,-0.367746383,-0.095248126,-0.370998817
247,-0.449727096,-0.063431868,-0.546453355
248,-0.25511832,-0.145119765,-0.708961367
249,-0.368683637,-0.297347341,0.606019988
250,0.008002815,-0.275125271,0.877258164
251,-0.310689939,-0.293260424,0.71006136
252,-0.611633582,-0.237141023,0.52948121
253,-0.438174264,-0.26603893,0.658113118
254,-0.379462962,-0.295615543,0.710850142
255,-0.52166732,-0.265877861,0.606403208
256,-0.547195768,-0.265049672,0.584758266
257,-0.475973026,-0.25547931,0.603848468
258,-0.672606096,-0.234565067,0.395432347
259,-0.260184243,-0.350390966,0.75306306
260,-0.394805689,-0.357977311,0.682417363
261,-0.514084542,-0.315839759,0.613513915
262,-0.526733447,-0.348081903,0.585059372
263,-0.342843182,-0.382379359,0.651620804
264,-0.257601106,-0.445586782,0.62147392
265,-0.4150482,-0.454181805,0.538689564
266,-0.511400309,-0.384302004,0.549949462
267,-0.712365635,-0.069010857,0.533108905
268,-0.629516947,-0.13985202,0.598056155
269,-0.644311236,-0.17841657,0.567559258
270,-0.641988933,-0.233679911,0.512487445
271,-0.603935625,-0.199974423,0.424923741
272,-0.637936592,-0.322688442,0.469299202
273,-0.68405667,-0.20866246,0.320508987
274,-0.630449801,-0.372172444,0.3468234
275,-0.720860125,-0.35899931,0.060392441
276,-0.833737135,-0.308798276,-0.148101381
277,-0.83454687,-0.30804371,-0.262488274
278,-0.365747996,-0.172888285,0.705659129
279,-0.467707465,-0.169503306,0.661024534
280,-0.632258641,-0.150182827,0.316933882
281,-0.622001646,-0.213204259,0.166333565
282,-0.683889221,-0.157890152,0.10256727
283,-0.631841598,-0.245303839,0.084829655
284,-0.836447675,-0.14440214,-0.143428292
285,-0.853515623,-0.12792285,-0.196024081
286,-0.861892081,-0.107379516,-0.244240528
287,-0.929865353,-0.077386178,-0.326813604
288,-0.592606872,-0.411392963,-0.640618217
289,-0.753929068,-0.310809822,-0.700863294
290,-0.5578354,-0.366763628,-0.615675601
291,-0.655136254,-0.318567997,-0.719187163
292,-0.613817982,-0.287000147,-0.78280137
293,-0.526465087,-0.257602514,-0.91489483
294,-0.717726401,-0.236129989,-0.646604194
295,-0.766888341,-0.087327763,-0.614847797
296,-0.434780067,-0.247371521,-0.914130999
297,-0.413463012,-0.126711533,-0.995586593
298,-0.710131962,-0.137966468,-0.608889007
299,-0.575516352,-0.177595994,-0.700234675
300,-0.373681077,-0.054229913,-0.966318089
301,-0.54137592,-0.02747705,-0.987713227
302,-0.534564583,0.034513494,-0.972724814
303,-0.413094312,0.107539105,-0.984834803
304,0.128153375,-0.483500431,-0.034295307
305,-0.205422915,-0.488032031,-0.110556814
306,0.111494409,-0.465335005,0.129531736
307,-0.438323338,-0.408511677,-0.075311731
308,-0.015053825,-0.533642261,-0.16663312
309,0.411158544,-0.586697237,0.015490716
310,-0.194383715,-0.49569618,-0.235398154
311,0.095976376,-0.602279421,-0.14547283
312,0.528230182,-0.68193845,0.0160181
313,0.553321983,-0.81402182,-0.035999874
314,0.244973846,-0.648397846,-0.101427883
315,0.400655822,-0.791430327,-0.092789664
316,0.573442972,-0.792037451,-0.035682755
317,0.481466546,-0.914190388,-0.08291483
318,0.343900984,-0.809754,-0.15316858
319,0.192378373,-0.774131139,-0.213648356
320,-0.25175046,-0.538868712,-0.173806714
321,-0.073731341,-0.529146291,-0.082510601
322,-0.057198521,-0.591379572,-0.07609137
323,0.466264457,-0.675872709,0.108181759
324,-0.026965692,-0.721817142,-0.152782116
325,0.018495513,-0.678988567,-0.235086144
326,-0.08519925,-0.614003436,-0.33725431
327,0.003134546,-0.558033778,-0.327075953
328,0.294801495,-0.668758782,-0.101879883
329,0.006725631,-0.607405833,-0.471224985
330,0.317556495,-0.68020794,-0.422609027
331,-0.178732356,-0.54309933,-0.424476219
332,-0.317870388,-0.488113803,-0.511744578
333,-0.323108957,-0.544794262,-0.529761639
334,-0.352081384,-0.455613595,-0.61160655
335,-0.662346805,-0.035784979,0.529285625
336,-0.111389543,-0.492365142,0.01140611
337,-0.17820678,-0.454948804,-0.100633627
338,-0.346629136,-0.392150803,-0.177138289
339,0.12012615,-0.50285966,-0.181162474
340,-0.04927032,-0.458531465,-0.234934158
341,0.179107392,-0.668729269,0.720792576
342,-0.167823048,-0.707502677,0.484684651
343,-0.037098414,-0.547176909,0.369238956
344,-0.258488013,-0.554570427,-0.050617452
345,-0.098554443,-0.607696585,-0.027457729
346,-0.071174615,-0.543767281,-0.055916312
347,-0.244754758,-0.473745801,-0.225802219
348,-0.389012817,-0.407657254,-0.381620422
349,-0.0929615,0.795895293,0.014207639
350,0.132027865,0.870881995,0.124047997
351,-0.017174153,0.793600668,-0.032829895
352,-0.685556071,-0.08508688,0.276020792
353,-0.783804743,-0.09011007,0.069154567
354,-0.530996179,0.142336961,0.392324283
355,-0.58349087,0.148863562,0.298547238
356,-0.297550865,0.250666787,0.434390193
357,-0.506930202,0.238144627,0.246907383
358,-0.681961556,0.147730841,-0.00536279
359,-0.744745136,0.131339992,-0.165302125
360,-0.56683236,0.245226418,0.049141488
361,-0.587081562,0.237938131,-0.074248916
362,-0.177615486,0.210211446,-0.685175304
363,-0.005776014,0.176567028,-0.78404051
364,-0.197463647,0.106611869,-0.895253397
365,-0.112224115,0.198766335,-0.824791901
366,-0.391247398,0.340788009,-0.040794396
367,-0.201269842,0.353871204,0.013996826
368,0.136124131,0.402433657,0.045405987
369,-0.025835256,0.273769601,-0.266332135
370,-0.299432902,0.413238357,-0.081841929
371,-0.282600794,0.363199828,-0.219225948
372,-0.052492963,0.480036195,-0.176927281
373,0.049672416,0.526795933,-0.155717428
374,0.319338958,0.612500404,-0.169600693
375,0.595461117,0.673592132,-0.308464801
376,0.309150174,0.743181009,-0.232285603
377,0.517895447,0.804648429,-0.367722739
378,0.57828218,0.590030216,-0.451553852
379,0.389294902,0.56389592,-0.468641996
380,0.823524637,0.791620253,-0.285389269
381,0.872906506,0.843355612,-0.217621983
382,-0.465534686,0.593638725,-0.347906915
383,-0.21290066,0.683662296,-0.332368909
384,-0.587350832,0.551882381,-0.419963822
385,-0.286150037,0.618647796,-0.264978923
386,-0.205333717,0.676891853,-0.256062915
387,-0.31232425,0.592109794,-0.287978379
388,-0.058132944,0.689699465,-0.344568485
389,-0.539230015,0.537140752,-0.55264223
390,-0.430050707,0.554767777,-0.626253568
391,-0.027479466,0.619375606,-0.410896328
392,-0.266556722,0.600100316,-0.574023248
393,-0.374656944,0.488966402,-0.723018589
