ID,TsneX,TsneY,TsneZ
1,0.417992476,-0.847972778,0.25665897
2,0.456061224,-0.801247144,0.292229913
3,0.358724798,-0.91611778,0.176941811
4,0.454238059,-0.835084285,0.247676053
5,0.346972229,-1,0.049414585
6,0.408113739,-0.939259309,0.128469968
7,0.424665804,-0.937645935,0.12267292
8,0.403614212,-0.908691742,0.17021146
9,0.34545374,-0.940938539,0.094999983
10,0.705544671,-0.032534792,0.703681808
11,0.460547819,-0.743276081,0.339499975
12,0.458497326,-0.684819894,0.386896298
13,0.575294456,-0.062396537,0.748428305
14,0.314372544,-0.89816481,0.153365148
15,0.504938694,-0.182751538,0.726724978
16,0.676880883,0.008940807,0.736766261
17,0.512023505,-0.067204821,0.770032397
18,0.616026754,0.038635927,0.775672843
19,0.486749881,-0.167912434,0.748290763
20,0.088032377,-0.74335777,0.354221944
21,0.224420276,-0.797554322,0.379640834
22,0.065185293,-0.763985598,0.298105989
23,0.052622709,-0.800809792,0.230571241
24,0.557592032,-0.117249916,0.737941494
25,0.455247234,-0.187684936,0.753952926
26,0.429304204,-0.250307815,0.719978373
27,-0.005048909,-0.724364829,0.305670188
28,0.089412114,0.036018064,0.808826943
29,-0.05355622,0.246593293,0.893119006
30,0.05470403,0.084154525,0.842879173
31,0.042509108,0.099344953,0.831603743
32,-0.027197549,0.178691712,0.91652864
33,-0.511995173,0.480322469,0.993852992
34,0.578651905,-0.078249665,0.758888146
35,0.740143815,-0.783572136,-0.107213723
36,0.659645865,-0.791262585,-0.105277587
37,0.703153229,-0.787584689,-0.127314045
38,0.595305538,-0.857489755,-0.082318781
39,0.583735405,-0.891919819,-0.153558361
40,0.469731069,-0.969130234,-0.153659104
41,0.551035667,-0.882844329,-0.229381049
42,0.559451407,-0.898416567,-0.180273254
43,0.493177943,-0.915261934,-0.132245393
44,0.990358276,0.205420609,0.154177193
45,0.720627541,-0.704517071,-0.090416354
46,0.900924715,0.221676743,0.113497774
47,0.906238998,0.070689656,0.061861448
48,0.896322776,0.097393066,0.048935296
49,0.554260604,-0.856597021,-0.123304365
50,0.975115646,0.306432289,0.129719744
51,0.899759321,0.246336037,0.055302918
52,0.928679697,0.185221082,0.059864104
53,1,0.271825165,0.084844426
54,0.568157643,-0.621911125,-0.422205762
55,0.532142478,-0.813935266,-0.386086651
56,0.483284193,-0.867158259,-0.383951477
57,0.475076192,-0.817285935,-0.352481485
58,0.588664327,-0.840530776,-0.271308805
59,0.521644553,-0.912835708,-0.313571201
60,0.241202765,0.83703404,-0.268327033
61,0.36268719,0.683030669,-0.179375163
62,0.314088466,0.709312961,-0.196773309
63,0.382338896,0.714038288,-0.195250863
64,0.277098374,0.773943444,-0.246451093
65,0.231430717,0.947675261,-0.455351949
66,0.423720624,0.762622484,-0.230408134
67,0.950078042,0.227370517,0.101262066
68,-0.880930564,0.184649208,0.820888594
69,-0.845814246,0.115130747,0.799063852
70,-0.776751658,0.0442068,0.719170187
71,-0.739063662,-0.042704768,0.667521352
72,0.495913076,-0.800850605,0.274326891
73,0.558690791,-0.172066313,0.646724484
74,0.580201346,-0.653011049,0.396405801
75,0.375380117,-0.435305289,0.646164912
76,0.163165361,-0.62026807,0.521410985
77,0.394350787,-0.498002405,0.585146288
78,0.231800137,-0.651960094,0.492730451
79,0.156898486,-0.675497502,0.477508014
80,0.096547494,-0.674019677,0.46298275
81,0.199800669,-0.760539014,0.401291366
82,0.144786234,-0.785851246,0.36677293
83,-0.662931949,0.014297538,-0.136923807
84,-0.730021596,0.16824017,-0.136299824
85,-0.677554654,0.141384436,-0.197115267
86,-0.673574835,0.150052962,-0.248562533
87,-0.075637505,0.225251124,0.928572627
88,-0.140917281,0.290990053,0.920175057
89,-0.215473775,0.304935754,0.921474539
90,-0.167634084,0.231630365,0.905663457
91,-0.370460352,0.364459034,0.893026187
92,-0.570713487,0.416473047,0.856349233
93,-0.730492133,0.438051123,0.793519279
94,-0.770198627,0.451270711,0.735881436
95,-0.876141978,0.459655054,0.727772472
96,-0.919258068,0.415676746,0.674956855
97,-0.847734426,0.4526229,0.666075709
98,-0.879624351,0.444134409,0.60081732
99,-0.923420709,0.445887838,0.622817351
100,-0.908039189,0.375070766,0.611364515
101,-0.901292691,0.420302914,0.552434558
102,-0.898560641,0.375773129,0.49920381
103,-0.771438489,0.027122665,0.630011789
104,-0.711329229,-0.0776052,0.59400754
105,-0.650378547,-0.148855562,0.476352133
106,-0.692431276,-0.15743032,0.509516005
107,-0.748499164,-0.035643781,0.591428038
108,-0.682666656,-0.123989502,0.542228209
109,-0.599361091,-0.244984001,0.465386892
110,-0.351783743,-0.537157976,0.190355926
111,-0.658348619,-0.183254373,0.429596218
112,-0.726807161,-0.093135857,0.454387554
113,-0.276531546,-0.609447913,0.155621996
114,-0.410011176,-0.482684419,0.102537586
115,-0.714035974,-0.107831371,0.407867227
116,-0.77480653,-0.009473934,0.416240047
117,-0.416212584,-0.531781773,0.056339284
118,-0.436786818,-0.449018006,0.058463991
119,-0.306034385,0.325972617,0.929713769
120,-0.393419103,0.348894069,0.920125688
121,-0.504676724,0.375580636,0.895921294
122,-0.884358597,0.406755171,0.821318444
123,-0.815365812,0.409109032,0.818527571
124,-0.872002916,0.230047731,0.572148132
125,-0.72895786,0.409644413,0.848672754
126,-0.663050354,0.419869838,0.857497833
127,-0.972849509,0.48651667,0.799852789
128,-0.926814012,0.429466919,0.729132371
129,-0.242467326,-0.796529861,-0.049069868
130,-0.258447738,-0.792140889,-0.029014799
131,-0.302266468,-0.746238369,-0.031997655
132,-0.24130836,-0.810917648,-0.004049904
133,-0.837139932,0.127681271,0.531864265
134,-0.859518948,0.173606249,0.503085139
135,-0.888888911,0.283130551,0.546447152
136,-0.876000951,0.219336811,0.476868724
137,-0.860698976,0.357779445,-0.197515173
138,-0.789534599,0.386648512,-0.216762727
139,-0.843097773,0.405526112,-0.165225564
140,-0.831124488,0.31140566,-0.225999396
141,-0.822535492,0.352632931,-0.182007701
142,-0.799420656,0.233528338,-0.245851668
143,-0.785211478,0.258769472,-0.256124776
144,-0.839860976,0.331894407,-0.236793385
145,-0.416136603,-0.30196964,-0.231169919
146,-0.72370287,0.335634381,-0.289836186
147,-0.719638795,0.232762662,-0.227778967
148,-0.705338766,0.401943918,-0.31208788
149,0.433016173,0.06705469,0.824783852
150,0.646959841,-0.011914581,0.71908618
151,0.225526363,0.095693596,0.913003196
152,0.382816488,0.087739144,0.849899142
153,0.171712901,0.095317985,0.909220405
154,0.11446652,0.131455188,0.930174816
155,0.317328257,0.095612217,0.873949491
156,0.257515515,0.11776208,0.887541208
157,-0.760833691,0.196948655,-0.123521508
158,-0.831508344,0.367427122,0.021130602
159,-0.735462436,0.20601627,-0.129871896
160,-0.84873577,0.398211936,0.064104345
161,-0.811354446,0.23498321,-0.094615057
162,-0.761980734,0.280506787,-0.074000941
163,-0.805827484,0.351526933,-0.103675206
164,-0.824438859,0.369795134,-0.035372387
165,0.68448213,0.118661568,0.617914505
166,0.628836485,0.162255613,0.673141723
167,0.584242812,0.166052606,0.717435994
168,0.599789917,0.083124345,0.631078401
169,0.746442764,0.109578115,0.590174211
170,-0.833667073,0.064722839,0.73235877
171,-0.753873132,0.467378408,0.935802948
172,-0.565848791,0.444064607,0.94793458
173,-0.857267922,0.50091877,0.92457674
174,-0.677081945,0.383069359,0.909879858
175,-0.945990044,0.514895468,0.896344081
176,-0.801741357,0.370227679,0.884258367
177,-0.956807236,0.429751715,0.871834167
178,-0.867633236,0.324654528,0.860333497
179,-0.937457321,0.310652096,0.86581227
180,-0.88696974,0.237480935,0.83685915
181,-1,0.493844228,0.909642045
182,-0.924679707,0.188975755,0.837180816
183,-0.828471583,0.106987286,0.662997727
184,-0.766802325,-0.006921726,0.5677078
185,-0.061043985,0.188291654,0.876835107
186,-0.096200562,0.245490724,0.885318129
187,0.276471571,-0.957426895,0.071385686
188,0.311767437,-0.946798602,0.072378755
189,0.269325781,-0.940291536,0.090484885
190,0.210049157,-0.922145109,0.104741387
191,-0.156169927,-0.106619108,0.831130986
192,-0.107089883,0.071768551,0.934975553
193,-0.240216584,-0.122396256,0.807346073
194,-0.027198159,0.052498692,0.941805866
195,-0.109543776,-0.024133078,0.878858616
196,-0.206717153,-0.03061609,0.868152797
197,-0.191346478,-0.126259381,0.82706015
198,0.150694172,0.112229847,0.95677055
199,0.033973255,0.146476347,0.979424846
200,-0.020914181,0.155440017,1
201,0.041730796,0.124957953,0.923387219
202,0.040980636,0.089725254,0.940858013
203,-0.968473415,0.586724738,0.983015202
204,0.08722724,0.039389007,0.976907177
205,-0.710196701,0.085914035,-0.165432468
206,-0.721759645,0.126845736,-0.210041332
207,-0.344430323,-0.273004074,0.65108383
208,-0.259401048,-0.39147954,0.6052933
209,0.280390179,-0.957717324,0.083310622
210,-0.453186993,-0.133922482,0.783019951
211,-0.360701622,-0.220508541,0.712268627
212,-0.364043663,-0.262809031,0.708259729
213,-0.176285634,-0.493569735,0.536466304
214,-0.15396055,-0.527182051,0.495525598
215,-0.081579563,-0.630935457,0.422169145
216,-0.253647474,-0.439422231,0.537267357
217,-0.126746435,-0.640494275,0.361911086
218,0.151434403,-0.859504999,0.199459849
219,-0.075942373,-0.719452583,0.25971262
220,0.45552933,-0.839739786,0.254933816
221,0.204029015,-0.967455389,0.05884995
222,0.11988392,-0.964547115,0.024805011
223,0.038870497,-0.951706831,0.028581207
224,0.402344768,-0.967636155,0.020382624
225,-0.34623266,-0.075049591,0.814784402
226,-0.354962184,-0.248083997,0.67777835
227,-0.20287329,-0.226350536,0.756864656
228,-0.279581938,-0.04052323,0.851364508
229,-0.283105635,-0.312810146,0.678915391
230,-0.045978248,-0.595414464,0.487480817
231,0.092119055,-0.621737898,0.510604238
232,-0.260332122,-0.178626679,0.77231317
233,0.066961318,-0.703993362,0.420897354
234,0.159000114,-0.788588958,0.342994475
235,-0.019416022,-0.659645097,0.425358531
236,-0.009904936,-0.710412192,0.364756424
237,0.273190774,-0.911797927,0.178696268
238,0.215381935,-0.90220045,0.16442005
239,0.068279065,-0.961370814,0.017906597
240,-0.313773649,-0.726200972,-0.057451415
241,-0.298240467,-0.711893221,-0.000400818
242,-0.3247818,-0.667542531,-0.045525475
243,-0.353563665,-0.59172698,-0.068049801
244,-0.274702522,-0.691068327,-0.086360975
245,0.061015309,-0.924798002,-0.049983168
246,-0.220651521,-0.826884148,-0.039498582
247,-0.217100383,-0.800209402,-0.060432043
248,-0.353205605,-0.644546994,-0.044574145
249,0.552430104,-0.033734136,0.71218915
250,0.530949727,0.002077872,0.688818771
251,0.546752821,-0.089990805,0.689296873
252,0.714762555,-0.054141961,0.650851798
253,0.610014544,-0.113150799,0.680103994
254,0.564054142,-0.167379469,0.687157132
255,0.665308712,-0.124550737,0.661741553
256,0.658699962,-0.126350629,0.647553765
257,0.635529673,-0.043005387,0.694619072
258,0.721671518,-0.00773424,0.684447166
259,0.464097826,-0.273687415,0.688382019
