id,x,y,z
1,-0.135954497,0.680183009,-0.743135646
2,0.013960849,0.820871086,0.50325725
3,-0.03128797,0.844778864,0.434782609
4,-0.104562506,0.825334171,0.061250784
5,-0.013480585,0.792612362,0.770786083
6,-0.167233614,0.710639634,-0.748878058
7,-0.116394259,0.853211626,0.194035613
8,0.002476568,0.802009509,0.754475703
9,0.003764649,0.7927245,0.569415625
10,-0.013243773,0.804566251,0.184910486
11,0.015749112,0.693011573,-0.762920427
12,0.542930495,0.484184085,0.905708633
13,0.767038853,0.484471158,0.824446267
14,-0.023121272,0.7870279,0.783911596
15,-0.220071486,0.673409886,-0.739226946
16,-0.318003253,0.819615143,0.18234329
17,-0.293569555,0.893558805,0.393717126
18,-0.321455841,0.819727281,0.269565217
19,-0.31078823,0.844801292,0.061622352
20,-0.306981531,0.83654795,0.032866863
21,-0.224188033,0.689692294,-0.758046615
22,-0.299987827,0.721494573,-0.423751387
23,-0.270253522,0.6730959,-0.642233267
24,-0.762169819,0.185814569,0.983110553
25,-0.650403355,0.339351395,0.81136901
26,-0.334535837,0.845900242,0.371143174
27,0.801122091,0.217432942,-0.511291801
28,0.809554373,0.154550552,-0.467567437
29,0.75960251,0.121689692,-0.562100082
30,0.696703443,0.182907957,-0.569555566
31,-0.248415904,0.851394994,-0.089134295
32,-0.210913276,0.799699471,0.743618202
33,-0.201383248,0.880236835,0.271558172
34,0.437338852,0.703709518,-0.205694156
35,0.435125654,0.61787925,-0.578198137
36,0.397102925,0.738584372,-0.080276504
37,0.408810738,0.680878263,-0.371220383
38,0.428884438,0.606015071,-0.655648313
39,0.356313699,0.618821207,-0.808232399
40,0.394181504,0.635709159,-0.694735318
41,0.320194319,0.643783081,-0.840660136
42,0.416047894,-0.926572172,-0.1741881
43,0.374041409,-0.898425585,-0.15218839
44,0.373510242,-0.899659101,-0.152757805
45,0.347925681,-0.866219611,-0.138678763
46,0.599898193,0.458957567,0.908266178
47,0.65427645,0.350650399,0.845003137
48,0.666603959,0.396126761,0.907445833
49,0.733508914,0.326015968,0.872219273
50,0.763210021,0.179599892,0.680885972
51,0.820642491,0.036242935,0.614968875
52,0.864441666,-0.068224634,0.507745018
53,0.778016311,-0.228559254,0.557786035
54,0.832416701,-0.283058222,0.334937026
55,0.771420983,-0.403875482,0.106963278
56,0.755463831,-0.377792231,0.375158037
57,0.652350969,-0.517874765,0.245167206
58,0.703387298,-0.496120032,-0.022868311
59,0.692786083,-0.509576568,-0.059207644
60,0.556940033,-0.641069346,0.026501954
61,0.469585136,-0.694402081,-0.32173913
62,0.804087775,-0.07129721,-0.668532548
63,0.758252459,-0.04649233,-0.599141051
64,0.778746666,-0.113842289,-0.605945085
65,0.72135846,-0.147102359,-0.53457511
66,0.750904644,-0.003565982,-0.669111615
67,0.72695785,0.013209832,-0.551618974
68,0.734881096,-0.114896385,-0.553944892
69,0.755463831,-0.06734996,-0.684987695
70,0.848174666,-0.160917736,-0.749215847
71,0.699049432,-0.300058312,-0.509617333
72,0.764869919,-0.176168476,-0.692226029
73,0.779875397,-0.235825783,-0.707088742
74,0.753073578,-0.324863192,-0.611301452
75,0.70015603,-0.456871804,-0.588959128
76,0.777972047,-0.290526599,-0.683829561
77,0.743999469,-0.373844981,-0.65145008
78,0.657950358,0.415768817,0.87323264
79,0.743468301,0.32986678,0.826038701
80,0.79999336,0.237983314,0.780002895
81,0.876459327,0.001502646,0.274313565
82,0.871767349,0.024760025,0.310963664
83,0.723947901,-0.385081188,-0.271186604
84,0.872032932,0.128220597,0.612459586
85,0.864972833,0.145617655,0.668822082
86,0.883275975,-0.19689154,0.232075472
87,0.808447774,-0.258186059,0.265979829
88,-0.251335111,0.933367722,-0.329624089
89,-0.256624653,0.954741186,-0.199980698
90,-0.269341684,1,-0.193162187
91,-0.242920535,0.915941509,-0.227935145
92,0.65830447,-0.387301516,-0.432886165
93,0.582613122,-0.485870638,-0.469039232
94,0.639071785,-0.512200592,-0.39904454
95,0.517899233,-0.572014892,-0.500038604
96,0.34040081,-0.702767561,-0.607489263
97,0.265417686,-0.750650399,-0.574550017
98,0.341396749,-0.729949762,-0.531486754
99,0.277723063,-0.738113394,-0.644549534
100,0.284738898,-0.791760115,-0.391560102
101,0.229143382,-0.779895936,-0.67384066
102,0.183418726,-0.755091056,-0.71037012
103,0.233503381,-0.780972459,-0.547700622
104,0.002930273,-0.758163631,-0.654634947
105,0.109314241,-0.797277294,-0.406017469
106,0.246295661,-0.835426572,-0.383347006
107,0.072561887,-0.820332825,-0.386401583
108,0.161751524,0.78518884,0.500796217
109,0.037613288,0.801314255,0.519519375
110,0.251341751,0.741499955,0.538773344
111,0.139550942,0.75091953,0.601505574
112,0.320968938,0.718534135,0.511364185
113,0.361337656,0.708845429,0.493654394
114,0.187867252,0.746075177,0.584085316
115,0.264200427,0.733852158,0.533320465
116,0.374107805,-0.939961425,-0.211388313
117,0.481824117,-1,-0.195435024
118,0.416911041,-0.907598457,-0.209863437
119,0.659610256,-0.715304566,0.380803938
120,0.522657607,-0.849197093,-0.307103219
121,0.45179103,-0.879967704,-0.142183564
122,0.471864729,-0.795370952,-0.103207065
123,0.496763199,-0.831187764,0.023413598
124,-0.120701141,0.816452857,0.577763837
125,-0.067624177,0.768771867,0.650822757
126,-0.011603793,0.779021261,0.644646045
127,-0.341418881,0.820669238,0.795637697
128,-0.133964832,0.820422535,0.581286493
129,0.795921077,0.079572979,-0.538676833
130,0.93313931,0.279601462,0.653476813
131,0.757145861,0.368581233,0.919316701
132,0.976540109,0.169231632,0.654972736
133,0.837130811,0.304205167,0.669256382
134,0.956864785,0.059787387,0.316455146
135,0.892527139,0.189268413,0.404092072
136,0.949915345,0.077283126,-0.059760652
137,0.899476579,0.172793128,-0.096204555
138,0.85618644,0.204649233,-0.381976548
139,0.873449379,0.186868664,-0.347932249
140,1,0.068877276,-0.438329392
141,0.764161696,0.277609222,-0.463919317
142,0.841955581,-0.077262941,-0.692515562
143,0.771930019,-0.121131246,-0.587221927
144,0.617227528,0.281800933,0.61241133
145,0.445151438,0.188382524,0.414467017
146,-0.184837385,0.74448282,-0.573063746
147,-0.168818263,0.708890284,-0.676977272
148,-0.160069494,0.705750426,-0.687014428
149,-0.145942656,0.721270297,-0.671186604
150,0.521196897,0.587445052,-0.146793418
151,0.625283566,0.609311922,-0.053246152
152,0.558577799,0.505292904,-0.397963615
153,0.609813317,0.645397865,0.183911596
154,0.545187956,0.613775007,0.041210249
155,0.56610267,0.532990939,-0.335646383
156,0.571547136,0.536153225,-0.410481108
157,0.347173194,0.745693909,0.510302562
